input,amount,currency,amount_normalized,timeframe,timeframe_normalized_days,purpose
Planning to put ₹100000 towards my tuition within over the next 3 months.,100000,INR,100000.0,over the next 3 months,90,tuition
I need ₹500 by within 2 weeks to buy a bike.,500,INR,500.0,within 2 weeks,14,bike
Save 100k for wedding in in 5 months.,100000,INR,100000.0,in 5 months,150,wedding
Gotta save ₹25000 for rent ASAP.,25000,INR,25000.0,25-12-2025,58,rent
Want to set aside 5000 for trip next next year.,5000,INR,5000.0,next year,365,trip
Planning to put ₹1200 towards my savings within by 15 Oct 2025.,1200,INR,1200.0,by 15 Oct 2025,,savings
Want to set aside $25000 for trip next Oct 15 2025.,25000,USD,25000.0,Oct 15 2025,0,trip
Want to set aside 25000 for tuition next in 6 months.,25000,INR,25000.0,in 6 months,180,tuition
I'm aiming to save 500 in in 10 days for mobile.,500,INR,500.0,in 10 days,10,phone
Want to set aside Rs. 100000 for vacation next in 10 days.,100000,INR,100000.0,in 10 days,10,vacation
Gotta save Rs. 50000 for deposit ASAP.,50000,INR,50000.0,25-12-2025,58,deposit
I'm aiming to save Rs. 5000 in next year for phone.,5000,INR,5000.0,next year,365,phone
"I need 50,000 by 15 Oct 2025 to buy a wedding.",50000,INR,50000.0,15 Oct 2025,0,wedding
"Need 100,000 for groceries by 31 Dec 2025.",100000,INR,100000.0,31 Dec 2025,64,groceries
Save ₹5000 for rent in this summer.,5000,INR,5000.0,this summer,,rent
Gotta save 500 for wedding ASAP.,500,INR,500.0,31 Dec 2025,64,wedding
"Planning to put 1,200 towards my tuition within 25-12-2025.",1200,INR,1200.0,25-12-2025,58,tuition
Need 100000 for emergency fund by 15 Oct 2025.,100000,INR,100000.0,by the end of December,,emergency fund
Planning to put 5k towards my tuition within 31 Dec 2025.,5000,INR,5000.0,31 Dec 2025,64,tuition
Planning to put ₹500 towards my groceries within July 2026.,500,INR,500.0,July 2026,246,groceries
Save $10000 for mobile in this summer.,10000,USD,10000.0,this summer,,phone
Can I save $10000 over the next ASAP for medical?,10000,USD,10000.0,ASAP,7,medical
I'm aiming to save 100000 in ASAP for laptop.,100000,INR,100000.0,ASAP,7,laptop
Planning to put ₹50000 towards my smartphone within by the end of December.,50000,INR,50000.0,by the end of December,,phone
Gotta save $50000 for laptop ASAP.,50000,USD,50000.0,by the end of December,,laptop
I'm aiming to save ₹5000 in next year for groceries.,5000,INR,5000.0,next year,365,groceries
Planning to put ₹500 towards my rent within 1 Jan 2026.,500,INR,500.0,1 Jan 2026,65,rent
Can I save 1200 over the next ASAP for smartphone?,1200,INR,1200.0,ASAP,7,phone
Gotta save Rs. 500 for rent ASAP.,500,INR,500.0,this summer,,rent
Save Rs. 500 for medical in by the end of December.,500,INR,500.0,by the end of December,,medical
Can I save Rs. 25000 over the next by 15 Oct 2025 for mobile?,25000,INR,25000.0,by 15 Oct 2025,,phone
Gotta save 50000 for laptop ASAP.,50000,INR,50000.0,over the next 3 months,90,laptop
Planning to put ₹2500 towards my bike within 1 Jan 2026.,2500,INR,2500.0,1 Jan 2026,65,bike
Need 100000 for deposit by 25-12-2025.,100000,INR,100000.0,25-12-2025,58,deposit
Can I save 100000 over the next in 5 months for bike?,100000,INR,100000.0,in 5 months,150,bike
"Need 5,000 for deposit by over the next 3 months.",5000,INR,5000.0,over the next 3 months,90,deposit
Save $100000 for medical in in 6 months.,100000,USD,100000.0,in 6 months,180,medical
I need Rs. 100000 by next year to buy a car.,100000,INR,100000.0,next year,365,car
Save 50k for vacation in 25-12-2025.,50000,INR,50000.0,25-12-2025,58,vacation
I need $25000 by in 5 months to buy a phone.,25000,USD,25000.0,in 5 months,150,phone
Can I save Rs. 10000 over the next ASAP for deposit?,10000,INR,10000.0,ASAP,7,deposit
Want to set aside 1200 for smartphone next next year.,1200,INR,1200.0,next year,365,phone
Planning to put 50000 towards my mobile within this summer.,50000,INR,50000.0,this summer,,phone
Can I save $5000 over the next within 2 weeks for wedding?,5000,USD,5000.0,within 2 weeks,14,wedding
I need 25000 by 25-12-2025 to buy a groceries.,25000,INR,25000.0,25-12-2025,58,groceries
Gotta save ₹2500 for tuition ASAP.,2500,INR,2500.0,in 10 days,10,tuition
"Gotta save 5,000 for gift ASAP.",5000,INR,5000.0,in 5 months,150,gift
Save Rs. 25000 for smartphone in July 2026.,25000,INR,25000.0,July 2026,246,phone
Need 500 for trip by 1 Jan 2026.,500,INR,500.0,1 Jan 2026,65,trip
I'm aiming to save ₹50000 in 1 Jan 2026 for wedding.,50000,INR,50000.0,1 Jan 2026,65,wedding
Gotta save ₹500 for savings ASAP.,500,INR,500.0,within 3 weeks,21,savings
Want to set aside twenty five thousand rupees for phone next 31 Dec 2025.,25000,INR,25000.0,31 Dec 2025,64,phone
Want to set aside $1200 for trip next 1 Jan 2026.,1200,USD,1200.0,1 Jan 2026,65,trip
"I need 100,000 by Oct 15 2025 to buy a laptop.",100000,INR,100000.0,Oct 15 2025,0,laptop
Want to set aside $100000 for wedding next in 6 months.,100000,USD,100000.0,in 6 months,180,wedding
I need 2500 by in 6 months to buy a gift.,2500,INR,2500.0,in 6 months,180,gift
I'm aiming to save ₹50000 in ASAP for mobile.,50000,INR,50000.0,ASAP,7,phone
Save $25000 for groceries in Oct 15 2025.,25000,USD,25000.0,Oct 15 2025,0,groceries
Need ₹2500 for bike by in 10 days.,2500,INR,2500.0,in 10 days,10,bike
Gotta save 100k for savings ASAP.,100000,INR,100000.0,in 5 months,150,savings
I'm aiming to save 100k in 25-12-2025 for emergency fund.,100000,INR,100000.0,25-12-2025,58,emergency fund
Can I save Rs. 5000 over the next in 6 months for groceries?,5000,INR,5000.0,in 6 months,180,groceries
Save $500 for mobile in by 15 Oct 2025.,500,USD,500.0,by 15 Oct 2025,,phone
Gotta save twenty five thousand rupees for mobile ASAP.,25000,INR,25000.0,ASAP,7,phone
Save 5000 for mobile in next year.,5000,INR,5000.0,next year,365,phone
Want to set aside 5000 for tuition next by the end of December.,5000,INR,5000.0,by the end of December,,tuition
Need ₹1200 for emergency fund by July 2026.,1200,INR,1200.0,July 2026,246,emergency fund
Planning to put ₹5000 towards my bike within 15 Oct 2025.,5000,INR,5000.0,15 Oct 2025,0,bike
Planning to put Rs. 1200 towards my bike within this summer.,1200,INR,1200.0,this summer,,bike
Can I save Rs. 5000 over the next in 5 months for laptop?,5000,INR,5000.0,in 5 months,150,laptop
Need Rs. 1200 for car by within 3 weeks.,1200,INR,1200.0,within 3 weeks,21,car
Save $2500 for wedding in July 2026.,2500,USD,2500.0,July 2026,246,wedding
Gotta save ₹2500 for rent ASAP.,2500,INR,2500.0,Oct 15 2025,0,rent
Can I save ₹1200 over the next this summer for savings?,1200,INR,1200.0,this summer,,savings
Can I save $25000 over the next over the next 3 months for laptop?,25000,USD,25000.0,over the next 3 months,90,laptop
I need $25000 by within 2 weeks to buy a medical.,25000,USD,25000.0,within 2 weeks,14,medical
Gotta save ₹50000 for savings ASAP.,50000,INR,50000.0,25-12-2025,58,savings
I'm aiming to save ₹25000 in next year for laptop.,25000,INR,25000.0,next year,365,laptop
"Need 100,000 for rent by 15 Oct 2025.",100000,INR,100000.0,15 Oct 2025,0,rent
Gotta save ₹2500 for rent ASAP.,2500,INR,2500.0,Oct 15 2025,0,rent
Gotta save twenty five thousand rupees for phone ASAP.,25000,INR,25000.0,ASAP,7,phone
I need ₹50000 by 1 Jan 2026 to buy a emergency fund.,50000,INR,50000.0,1 Jan 2026,65,emergency fund
Gotta save Rs. 1200 for rent ASAP.,1200,INR,1200.0,this summer,,rent
"Planning to put 1,200 towards my groceries within ASAP.",1200,INR,1200.0,ASAP,7,groceries
I need twenty five thousand rupees by 31 Dec 2025 to buy a medical.,25000,INR,25000.0,31 Dec 2025,64,medical
Save ₹1200 for gift in July 2026.,1200,INR,1200.0,July 2026,246,gift
Gotta save twenty five thousand rupees for deposit ASAP.,25000,INR,25000.0,next year,365,deposit
Need 10000 for gift by 1 Jan 2026.,10000,INR,10000.0,1 Jan 2026,65,gift
Want to set aside Rs. 100000 for emergency fund next by the end of December.,100000,INR,100000.0,by the end of December,,emergency fund
"I'm aiming to save 1,200 in in 10 days for smartphone.",1200,INR,1200.0,in 10 days,10,phone
"Need 10,000 for rent by Oct 15 2025.",10000,INR,10000.0,Oct 15 2025,0,rent
Save fifteen thousand for phone in by the end of December.,15000,INR,15000.0,by the end of December,,phone
I need $2500 by 25-12-2025 to buy a mobile.,2500,USD,2500.0,25-12-2025,58,phone
Need 100k for rent by by 15 Oct 2025.,100000,INR,100000.0,by 15 Oct 2025,,rent
Can I save 100000 over the next next year for tuition?,100000,INR,100000.0,next year,365,tuition
I need $2500 by 25-12-2025 to buy a rent.,2500,USD,2500.0,25-12-2025,58,rent
Can I save Rs. 50000 over the next by the end of December for car?,50000,INR,50000.0,by the end of December,,car
Save 1200 for car in by the end of December.,1200,INR,1200.0,by the end of December,,car
I'm aiming to save Rs. 500 in in 5 months for gift.,500,INR,500.0,in 5 months,150,gift
Gotta save 1200 for emergency fund ASAP.,1200,INR,1200.0,31 Dec 2025,64,emergency fund
Planning to put $50000 towards my savings within in 10 days.,50000,USD,50000.0,in 10 days,10,savings
Save $5000 for savings in in 5 months.,5000,USD,5000.0,in 5 months,150,savings
Need 10000 for groceries by 1 Jan 2026.,10000,INR,10000.0,by the end of December,,groceries
Want to set aside 50k for tuition next 1 Jan 2026.,50000,INR,50000.0,1 Jan 2026,65,tuition
I'm aiming to save Rs. 50000 in ASAP for gift.,50000,INR,50000.0,ASAP,7,gift
Planning to put $1200 towards my groceries within next year.,1200,USD,1200.0,next year,365,groceries
I'm aiming to save 10000 in in 5 months for laptop.,10000,INR,10000.0,in 5 months,150,laptop
Need ₹500 for phone by 1 Jan 2026.,500,INR,500.0,by the end of December,,phone
I'm aiming to save twenty five thousand rupees in 1 Jan 2026 for phone.,25000,INR,25000.0,1 Jan 2026,65,phone
"Need 5,000 for emergency fund by 1 Jan 2026.",5000,INR,5000.0,1 Jan 2026,65,emergency fund
"Want to set aside 50,000 for car next over the next 3 months.",50000,INR,50000.0,over the next 3 months,90,car
Save Rs. 2500 for smartphone in by 15 Oct 2025.,2500,INR,2500.0,by 15 Oct 2025,,phone
Gotta save ₹5000 for savings ASAP.,5000,INR,5000.0,by the end of December,,savings
I need 25000 by Oct 15 2025 to buy a gift.,25000,INR,25000.0,Oct 15 2025,0,gift
Need 25000 for rent by in 10 days.,25000,INR,25000.0,in 10 days,10,rent
"Want to set aside 100,000 for medical next by the end of December.",100000,INR,100000.0,by the end of December,,medical
Gotta save 500 for laptop ASAP.,500,INR,500.0,15 Oct 2025,0,laptop
I need Rs. 50000 by 15 Oct 2025 to buy a emergency fund.,50000,INR,50000.0,15 Oct 2025,0,emergency fund
Planning to put Rs. 1200 towards my rent within Oct 15 2025.,1200,INR,1200.0,Oct 15 2025,0,rent
Can I save ₹2500 over the next in 10 days for laptop?,2500,INR,2500.0,in 10 days,10,laptop
I need $10000 by next year to buy a savings.,10000,USD,10000.0,next year,365,savings
Want to set aside Rs. 2500 for groceries next this summer.,2500,INR,2500.0,this summer,,groceries
Planning to put 25000 towards my groceries within in 6 months.,25000,INR,25000.0,in 6 months,180,groceries
"I need 100,000 by next year to buy a groceries.",100000,INR,100000.0,next year,365,groceries
Save ₹100000 for phone in 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,phone
Need $50000 for wedding by Oct 15 2025.,50000,USD,50000.0,Oct 15 2025,0,wedding
"Can I save 100,000 over the next by 15 Oct 2025 for medical?",100000,INR,100000.0,by 15 Oct 2025,,medical
I need 25000 by 31 Dec 2025 to buy a medical.,25000,INR,25000.0,31 Dec 2025,64,medical
Can I save $25000 over the next Oct 15 2025 for phone?,25000,USD,25000.0,Oct 15 2025,0,phone
Planning to put $50000 towards my emergency fund within within 3 weeks.,50000,USD,50000.0,within 3 weeks,21,emergency fund
Planning to put $1200 towards my deposit within ASAP.,1200,USD,1200.0,ASAP,7,deposit
I need 100000 by 31 Dec 2025 to buy a groceries.,100000,INR,100000.0,31 Dec 2025,64,groceries
Can I save Rs. 5000 over the next in 6 months for trip?,5000,INR,5000.0,in 6 months,180,trip
Want to set aside Rs. 50000 for rent next Oct 15 2025.,50000,INR,50000.0,Oct 15 2025,0,rent
Need ₹1200 for trip by 15 Oct 2025.,1200,INR,1200.0,this summer,,trip
I'm aiming to save ten thousand in 1 Jan 2026 for car.,10000,INR,10000.0,1 Jan 2026,65,car
Gotta save fifteen thousand for vacation ASAP.,15000,INR,15000.0,Oct 15 2025,0,vacation
Save $25000 for medical in 25-12-2025.,25000,USD,25000.0,25-12-2025,58,medical
"Save 5,000 for deposit in within 2 weeks.",5000,INR,5000.0,within 2 weeks,14,deposit
"Need 1,200 for smartphone by in 10 days.",1200,INR,1200.0,in 10 days,10,phone
Can I save 25k over the next Oct 15 2025 for trip?,25000,INR,25000.0,Oct 15 2025,0,trip
I'm aiming to save ₹5000 in 31 Dec 2025 for vacation.,5000,INR,5000.0,31 Dec 2025,64,vacation
Planning to put Rs. 25000 towards my tuition within within 2 weeks.,25000,INR,25000.0,within 2 weeks,14,tuition
I'm aiming to save 5000 in Oct 15 2025 for phone.,5000,INR,5000.0,Oct 15 2025,0,phone
Want to set aside 500 for gift next within 3 weeks.,500,INR,500.0,within 3 weeks,21,gift
I need $500 by in 6 months to buy a emergency fund.,500,USD,500.0,in 6 months,180,emergency fund
Want to set aside $500 for bike next in 5 months.,500,USD,500.0,in 5 months,150,bike
Can I save $1200 over the next 25-12-2025 for medical?,1200,USD,1200.0,25-12-2025,58,medical
Need 10k for bike by 31 Dec 2025.,10000,INR,10000.0,ASAP,7,bike
Need ₹2500 for car by 25-12-2025.,2500,INR,2500.0,25-12-2025,58,car
I need Rs. 100000 by 1 Jan 2026 to buy a phone.,100000,INR,100000.0,1 Jan 2026,65,phone
Save 1200 for gift in by 15 Oct 2025.,1200,INR,1200.0,by 15 Oct 2025,,gift
Planning to put 10000 towards my vacation within Oct 15 2025.,10000,INR,10000.0,Oct 15 2025,0,vacation
"Gotta save 100,000 for deposit ASAP.",100000,INR,100000.0,within 2 weeks,14,deposit
Can I save Rs. 2500 over the next next year for car?,2500,INR,2500.0,next year,365,car
Can I save fifteen thousand over the next July 2026 for gift?,15000,INR,15000.0,July 2026,246,gift
Can I save 50k over the next July 2026 for wedding?,50000,INR,50000.0,July 2026,246,wedding
Planning to put Rs. 500 towards my laptop within 31 Dec 2025.,500,INR,500.0,31 Dec 2025,64,laptop
Want to set aside ₹1200 for groceries next over the next 3 months.,1200,INR,1200.0,over the next 3 months,90,groceries
I need 5000 by within 2 weeks to buy a wedding.,5000,INR,5000.0,within 2 weeks,14,wedding
"I'm aiming to save 1,200 in within 2 weeks for vacation.",1200,INR,1200.0,within 2 weeks,14,vacation
I'm aiming to save $25000 in over the next 3 months for wedding.,25000,USD,25000.0,over the next 3 months,90,wedding
Need ₹5000 for rent by in 5 months.,5000,INR,5000.0,in 5 months,150,rent
Need 25000 for savings by 15 Oct 2025.,25000,INR,25000.0,next year,365,savings
Can I save 10000 over the next July 2026 for phone?,10000,INR,10000.0,July 2026,246,phone
Planning to put Rs. 10000 towards my medical within this summer.,10000,INR,10000.0,this summer,,medical
Want to set aside 50000 for medical next 1 Jan 2026.,50000,INR,50000.0,1 Jan 2026,65,medical
Want to set aside 50000 for deposit next ASAP.,50000,INR,50000.0,ASAP,7,deposit
Can I save $10000 over the next over the next 3 months for phone?,10000,USD,10000.0,over the next 3 months,90,phone
I'm aiming to save Rs. 100000 in in 10 days for gift.,100000,INR,100000.0,in 10 days,10,gift
Want to set aside Rs. 100000 for car next next year.,100000,INR,100000.0,next year,365,car
I'm aiming to save ₹1200 in ASAP for medical.,1200,INR,1200.0,ASAP,7,medical
"Planning to put 2,500 towards my laptop within 25-12-2025.",2500,INR,2500.0,25-12-2025,58,laptop
"Gotta save 5,000 for groceries ASAP.",5000,INR,5000.0,by the end of December,,groceries
Save ₹5000 for deposit in July 2026.,5000,INR,5000.0,July 2026,246,deposit
I'm aiming to save ₹2500 in 25-12-2025 for gift.,2500,INR,2500.0,25-12-2025,58,gift
Need $2500 for medical by 25-12-2025.,2500,USD,2500.0,25-12-2025,58,medical
Need 10k for wedding by July 2026.,10000,INR,10000.0,July 2026,246,wedding
Need 5k for trip by over the next 3 months.,5000,INR,5000.0,over the next 3 months,90,trip
Planning to put 5000 towards my gift within 1 Jan 2026.,5000,INR,5000.0,1 Jan 2026,65,gift
Want to set aside 50000 for gift next over the next 3 months.,50000,INR,50000.0,over the next 3 months,90,gift
Save $1200 for deposit in ASAP.,1200,USD,1200.0,ASAP,7,deposit
Need $100000 for gift by over the next 3 months.,100000,USD,100000.0,over the next 3 months,90,gift
Gotta save $1200 for emergency fund ASAP.,1200,USD,1200.0,ASAP,7,emergency fund
Can I save ten thousand over the next 25-12-2025 for emergency fund?,10000,INR,10000.0,25-12-2025,58,emergency fund
I'm aiming to save 5k in within 3 weeks for groceries.,5000,INR,5000.0,within 3 weeks,21,groceries
Planning to put 2500 towards my mobile within 31 Dec 2025.,2500,INR,2500.0,31 Dec 2025,64,phone
Want to set aside Rs. 25000 for smartphone next within 2 weeks.,25000,INR,25000.0,within 2 weeks,14,phone
Gotta save $100000 for wedding ASAP.,100000,USD,100000.0,next year,365,wedding
Save 500 for rent in by 15 Oct 2025.,500,INR,500.0,by 15 Oct 2025,,rent
Planning to put Rs. 1200 towards my smartphone within this summer.,1200,INR,1200.0,this summer,,phone
I'm aiming to save five k in in 5 months for car.,5,INR,5.0,in 5 months,150,car
Gotta save Rs. 2500 for groceries ASAP.,2500,INR,2500.0,Oct 15 2025,0,groceries
I need 10k by 15 Oct 2025 to buy a smartphone.,10000,INR,10000.0,15 Oct 2025,0,phone
"Can I save 100,000 over the next 15 Oct 2025 for rent?",100000,INR,100000.0,15 Oct 2025,0,rent
"Need 50,000 for medical by 25-12-2025.",50000,INR,50000.0,25-12-2025,58,medical
Need Rs. 2500 for gift by 15 Oct 2025.,2500,INR,2500.0,15 Oct 2025,0,gift
I need 2500 by within 2 weeks to buy a medical.,2500,INR,2500.0,within 2 weeks,14,medical
Can I save 500 over the next in 6 months for phone?,500,INR,500.0,in 6 months,180,phone
Want to set aside ₹100000 for emergency fund next 31 Dec 2025.,100000,INR,100000.0,31 Dec 2025,64,emergency fund
I need $100000 by by 15 Oct 2025 to buy a car.,100000,USD,100000.0,by 15 Oct 2025,,car
"Need 100,000 for rent by over the next 3 months.",100000,INR,100000.0,over the next 3 months,90,rent
"Need 10,000 for gift by 31 Dec 2025.",10000,INR,10000.0,ASAP,7,gift
Can I save fifteen thousand over the next 25-12-2025 for savings?,15000,INR,15000.0,25-12-2025,58,savings
Planning to put 5000 towards my emergency fund within 31 Dec 2025.,5000,INR,5000.0,31 Dec 2025,64,emergency fund
Need $10000 for phone by by 15 Oct 2025.,10000,USD,10000.0,by 15 Oct 2025,,phone
"Planning to put 50,000 towards my groceries within this summer.",50000,INR,50000.0,this summer,,groceries
Can I save 500 over the next ASAP for smartphone?,500,INR,500.0,ASAP,7,phone
Want to set aside $100000 for phone next within 3 weeks.,100000,USD,100000.0,within 3 weeks,21,phone
Planning to put ₹500 towards my bike within this summer.,500,INR,500.0,this summer,,bike
Planning to put $1200 towards my emergency fund within by 15 Oct 2025.,1200,USD,1200.0,by 15 Oct 2025,,emergency fund
Save twenty five thousand rupees for bike in over the next 3 months.,25000,INR,25000.0,over the next 3 months,90,bike
"Gotta save 25,000 for rent ASAP.",25000,INR,25000.0,by the end of December,,rent
Save $25000 for trip in in 10 days.,25000,USD,25000.0,in 10 days,10,trip
Need 1200 for vacation by within 3 weeks.,1200,INR,1200.0,within 3 weeks,21,vacation
I'm aiming to save ₹2500 in in 6 months for wedding.,2500,INR,2500.0,in 6 months,180,wedding
Want to set aside Rs. 100000 for laptop next over the next 3 months.,100000,INR,100000.0,over the next 3 months,90,laptop
"Gotta save 100,000 for groceries ASAP.",100000,INR,100000.0,within 3 weeks,21,groceries
I need ₹50000 by Oct 15 2025 to buy a groceries.,50000,INR,50000.0,Oct 15 2025,0,groceries
"I need 5,000 by ASAP to buy a laptop.",5000,INR,5000.0,ASAP,7,laptop
Planning to put five k towards my wedding within within 3 weeks.,5,INR,5.0,within 3 weeks,21,wedding
Want to set aside five k for phone next Oct 15 2025.,5,INR,5.0,Oct 15 2025,0,phone
"I need 100,000 by Oct 15 2025 to buy a phone.",100000,INR,100000.0,Oct 15 2025,0,phone
Planning to put Rs. 100000 towards my savings within over the next 3 months.,100000,INR,100000.0,over the next 3 months,90,savings
"Save 2,500 for trip in in 6 months.",2500,INR,2500.0,in 6 months,180,trip
Want to set aside ₹10000 for rent next in 5 months.,10000,INR,10000.0,in 5 months,150,rent
Planning to put 50000 towards my laptop within 15 Oct 2025.,50000,INR,50000.0,15 Oct 2025,0,laptop
I need Rs. 25000 by in 10 days to buy a car.,25000,INR,25000.0,in 10 days,10,car
Save Rs. 5000 for gift in over the next 3 months.,5000,INR,5000.0,over the next 3 months,90,gift
Need 25k for medical by over the next 3 months.,25000,INR,25000.0,over the next 3 months,90,medical
Want to set aside 50000 for vacation next July 2026.,50000,INR,50000.0,July 2026,246,vacation
Save Rs. 100000 for gift in Oct 15 2025.,100000,INR,100000.0,Oct 15 2025,0,gift
"I need 50,000 by ASAP to buy a savings.",50000,INR,50000.0,ASAP,7,savings
I need 1200 by over the next 3 months to buy a phone.,1200,INR,1200.0,over the next 3 months,90,phone
I'm aiming to save 50k in by 15 Oct 2025 for emergency fund.,50000,INR,50000.0,by 15 Oct 2025,,emergency fund
Need Rs. 500 for gift by 31 Dec 2025.,500,INR,500.0,31 Dec 2025,64,gift
Gotta save 5k for vacation ASAP.,5000,INR,5000.0,within 2 weeks,14,vacation
Need Rs. 1200 for groceries by 31 Dec 2025.,1200,INR,1200.0,31 Dec 2025,64,groceries
Can I save ₹25000 over the next 31 Dec 2025 for laptop?,25000,INR,25000.0,31 Dec 2025,64,laptop
Can I save fifteen thousand over the next over the next 3 months for groceries?,15000,INR,15000.0,over the next 3 months,90,groceries
I'm aiming to save $10000 in July 2026 for deposit.,10000,USD,10000.0,July 2026,246,deposit
Planning to put $500 towards my rent within in 6 months.,500,USD,500.0,in 6 months,180,rent
Gotta save 5000 for car ASAP.,5000,INR,5000.0,in 5 months,150,car
Gotta save twenty five thousand rupees for deposit ASAP.,25000,INR,25000.0,1 Jan 2026,65,deposit
Planning to put Rs. 50000 towards my wedding within over the next 3 months.,50000,INR,50000.0,over the next 3 months,90,wedding
"I'm aiming to save 50,000 in by 15 Oct 2025 for gift.",50000,INR,50000.0,by 15 Oct 2025,,gift
Can I save ₹50000 over the next by the end of December for rent?,50000,INR,50000.0,by the end of December,,rent
Gotta save 1200 for bike ASAP.,1200,INR,1200.0,this summer,,bike
Want to set aside 50k for bike next within 3 weeks.,50000,INR,50000.0,within 3 weeks,21,bike
Gotta save $25000 for mobile ASAP.,25000,USD,25000.0,15 Oct 2025,0,phone
Gotta save 25000 for emergency fund ASAP.,25000,INR,25000.0,by the end of December,,emergency fund
I'm aiming to save 50000 in next year for trip.,50000,INR,50000.0,next year,365,trip
I'm aiming to save $2500 in next year for mobile.,2500,USD,2500.0,next year,365,phone
I'm aiming to save Rs. 100000 in ASAP for medical.,100000,INR,100000.0,ASAP,7,medical
Planning to put $500 towards my rent within 31 Dec 2025.,500,USD,500.0,31 Dec 2025,64,rent
Need 500 for phone by 25-12-2025.,500,INR,500.0,25-12-2025,58,phone
Planning to put $100000 towards my medical within within 3 weeks.,100000,USD,100000.0,within 3 weeks,21,medical
Planning to put ₹100000 towards my trip within 25-12-2025.,100000,INR,100000.0,25-12-2025,58,trip
"Need 2,500 for gift by in 6 months.",2500,INR,2500.0,in 6 months,180,gift
I'm aiming to save $100000 in by the end of December for laptop.,100000,USD,100000.0,by the end of December,,laptop
Planning to put ₹25000 towards my groceries within Oct 15 2025.,25000,INR,25000.0,Oct 15 2025,0,groceries
Need 1200 for deposit by over the next 3 months.,1200,INR,1200.0,over the next 3 months,90,deposit
I'm aiming to save $500 in this summer for smartphone.,500,USD,500.0,this summer,,phone
Planning to put ₹25000 towards my bike within this summer.,25000,INR,25000.0,this summer,,bike
I need 10000 by over the next 3 months to buy a deposit.,10000,INR,10000.0,over the next 3 months,90,deposit
Save Rs. 2500 for deposit in by 15 Oct 2025.,2500,INR,2500.0,by 15 Oct 2025,,deposit
Can I save Rs. 25000 over the next 15 Oct 2025 for tuition?,25000,INR,25000.0,15 Oct 2025,0,tuition
Can I save fifteen thousand over the next within 2 weeks for tuition?,15000,INR,15000.0,within 2 weeks,14,tuition
Want to set aside 500 for savings next next year.,500,INR,500.0,next year,365,savings
I'm aiming to save Rs. 50000 in by the end of December for savings.,50000,INR,50000.0,by the end of December,,savings
"Need 25,000 for bike by by 15 Oct 2025.",25000,INR,25000.0,by 15 Oct 2025,,bike
I need ₹1200 by July 2026 to buy a medical.,1200,INR,1200.0,July 2026,246,medical
Save Rs. 25000 for bike in in 5 months.,25000,INR,25000.0,in 5 months,150,bike
Gotta save ₹50000 for gift ASAP.,50000,INR,50000.0,31 Dec 2025,64,gift
Planning to put 5000 towards my medical within 25-12-2025.,5000,INR,5000.0,25-12-2025,58,medical
Gotta save $1200 for rent ASAP.,1200,USD,1200.0,over the next 3 months,90,rent
Need $500 for mobile by 15 Oct 2025.,500,USD,500.0,next year,365,phone
Save ₹5000 for vacation in Oct 15 2025.,5000,INR,5000.0,Oct 15 2025,0,vacation
Can I save Rs. 5000 over the next next year for rent?,5000,INR,5000.0,next year,365,rent
Can I save ₹50000 over the next ASAP for phone?,50000,INR,50000.0,ASAP,7,phone
I need fifteen thousand by 15 Oct 2025 to buy a wedding.,15000,INR,15000.0,15 Oct 2025,0,wedding
"Can I save 1,200 over the next 25-12-2025 for gift?",1200,INR,1200.0,25-12-2025,58,gift
I'm aiming to save 1200 in 25-12-2025 for bike.,1200,INR,1200.0,25-12-2025,58,bike
Want to set aside Rs. 1200 for phone next ASAP.,1200,INR,1200.0,ASAP,7,phone
Can I save $1200 over the next by 15 Oct 2025 for gift?,1200,USD,1200.0,by 15 Oct 2025,,gift
Can I save ₹25000 over the next ASAP for emergency fund?,25000,INR,25000.0,ASAP,7,emergency fund
Want to set aside Rs. 50000 for rent next Oct 15 2025.,50000,INR,50000.0,Oct 15 2025,0,rent
Want to set aside 50k for rent next over the next 3 months.,50000,INR,50000.0,over the next 3 months,90,rent
Can I save ₹10000 over the next by 15 Oct 2025 for wedding?,10000,INR,10000.0,by 15 Oct 2025,,wedding
Gotta save $100000 for wedding ASAP.,100000,USD,100000.0,ASAP,7,wedding
Can I save Rs. 100000 over the next in 5 months for mobile?,100000,INR,100000.0,in 5 months,150,phone
Need ₹1200 for smartphone by 31 Dec 2025.,1200,INR,1200.0,31 Dec 2025,64,phone
Can I save fifteen thousand over the next in 10 days for smartphone?,15000,INR,15000.0,in 10 days,10,phone
"Gotta save 1,200 for gift ASAP.",1200,INR,1200.0,within 2 weeks,14,gift
I'm aiming to save 100k in within 3 weeks for phone.,100000,INR,100000.0,within 3 weeks,21,phone
I'm aiming to save Rs. 100000 in 15 Oct 2025 for savings.,100000,INR,100000.0,15 Oct 2025,0,savings
Planning to put $25000 towards my tuition within in 5 months.,25000,USD,25000.0,in 5 months,150,tuition
Planning to put $5000 towards my emergency fund within in 10 days.,5000,USD,5000.0,in 10 days,10,emergency fund
"I need 10,000 by in 5 months to buy a medical.",10000,INR,10000.0,in 5 months,150,medical
I'm aiming to save ₹5000 in next year for rent.,5000,INR,5000.0,next year,365,rent
I'm aiming to save Rs. 100000 in by 15 Oct 2025 for vacation.,100000,INR,100000.0,by 15 Oct 2025,,vacation
