input,amount,currency,amount_normalized,purpose_canonical,timeframe,target_compact
Planning to put Rs. 10k towards my vacation within by New Year.,10000,INR,10000.0,travel,by New Year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:by New Year
"I need ₹25,000 by within 3 weeks to buy a phone.",25000,INR,25000.0,phone,within 3 weeks,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:phone;timeframe:within 3 weeks
"Im aiming to save 1,50,000 in before Eid for rent.",150000,INR,150000.0,rent,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:before Eid
Want to set aside ₹150k for bike next by next Christmas.,150000,INR,150000.0,bike,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:by next Christmas
Im aiming to save £500 in by 15 Oct 2025 for phone.,500,GBP,500.0,phone,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
Im aiming to save 150k dollars in this summer for gift.,150000,INR,150000.0,gift,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:this summer
Planning to put $150k towards my vacation within in 6 months.,150000,USD,150000.0,travel,in 6 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
Save €3000 for groceries in by 15 Oct 2025.,3000,EUR,3000.0,groceries,by 15 Oct 2025,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:groceries;timeframe:by 15 Oct 2025
Need fifteen thousand for phone by by 15 Oct 2025.,15000,INR,15000.0,phone,by 15 Oct 2025,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
Want to set aside €3000 for emergency fund next in 5 months.,3000,EUR,3000.0,emergency_fund,in 5 months,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:emergency_fund;timeframe:in 5 months
Want to set aside 150k dollars for bike next this summer.,150000,INR,150000.0,bike,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:this summer
I need $150k by by 15 Oct 2025 to buy a laptop.,150000,USD,150000.0,laptop,by 15 Oct 2025,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:by 15 Oct 2025
Save 1.5 lakh for pc in by Diwali.,150000,INR,150000.0,gaming_pc,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
Want to set aside £500 for deposit next by 15 Oct 2025.,500,GBP,500.0,deposit,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:deposit;timeframe:by 15 Oct 2025
"Need $2,000 for bike by this summer.",2000,USD,2000.0,bike,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:bike;timeframe:this summer
I need $150k by this summer to buy a bike.,150000,USD,150000.0,bike,this summer,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:bike;timeframe:this summer
Need Rs. 10k for phone by by 15 Oct 2025.,10000,INR,10000.0,phone,by 15 Oct 2025,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
"Need 1,50,000 for gaming pc by next year.",150000,INR,150000.0,gaming_pc,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:next year
I need ₹150k by by Diwali to buy a gift.,150000,INR,150000.0,gift,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:by Diwali
Im aiming to save 1.5 lakh in within 2 weeks for medical.,150000,INR,150000.0,medical,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:within 2 weeks
"Im aiming to save ₹25,000 in in 6 months for laptop.",25000,INR,25000.0,laptop,in 6 months,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:laptop;timeframe:in 6 months
Im aiming to save 150k dollars in by New Year for mobile.,150000,INR,150000.0,phone,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by New Year
Can I save €3000 over the next in 6 months for phone,3000,EUR,3000.0,phone,in 6 months,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:phone;timeframe:in 6 months
Gotta save 1.5 lakh for smartphone ASAP.,150000,INR,150000.0,phone,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by Diwali
Im aiming to save one fifty thousand in within 3 weeks for deposit.,51000,INR,51000.0,deposit,within 3 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:deposit;timeframe:within 3 weeks
I need 1.5 lakh by next year to buy a gaming pc.,150000,INR,150000.0,gaming_pc,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:next year
Save 150k for pc in this summer.,150000,INR,150000.0,gaming_pc,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:this summer
Im aiming to save Rs. 10k in within 2 weeks for car.,10000,INR,10000.0,car,within 2 weeks,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:car;timeframe:within 2 weeks
"Want to set aside 1,50,000 for pc next within 2 weeks.",150000,INR,150000.0,gaming_pc,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:within 2 weeks
Save one fifty thousand for gaming rig in by New Year.,51000,INR,51000.0,gaming_pc,by New Year,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:gaming_pc;timeframe:by New Year
Want to set aside 2000 USD for wedding next by 15 Oct 2025.,2000,USD,2000.0,wedding,by 15 Oct 2025,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:wedding;timeframe:by 15 Oct 2025
"Gotta save 1,50,000 for bike ASAP.",150000,INR,150000.0,bike,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:by New Year
"Planning to put 1,50,000 towards my mobile within by New Year.",150000,INR,150000.0,phone,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by New Year
Gotta save one fifty thousand for car ASAP.,51000,INR,51000.0,car,before Eid,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:car;timeframe:before Eid
"Need $2,000 for bike by within 2 weeks.",2000,USD,2000.0,bike,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:bike;timeframe:within 2 weeks
"Im aiming to save ₹25,000 in by 15 Oct 2025 for mobile.",25000,INR,25000.0,phone,by 15 Oct 2025,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
Im aiming to save one hundred fifty thousand in by next Christmas for travel.,150000,INR,150000.0,travel,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by next Christmas
Can I save one hundred fifty thousand over the next before Eid for gift,150000,INR,150000.0,gift,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:before Eid
"Want to set aside $2,000 for travel next this summer.",2000,USD,2000.0,travel,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:this summer
Save one fifty thousand for trip in next year.,51000,INR,51000.0,travel,next year,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:next year
Need ₹150k for groceries by by 15 Oct 2025.,150000,INR,150000.0,groceries,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by 15 Oct 2025
Can I save $150k over the next by 15 Oct 2025 for car,150000,USD,150000.0,car,by 15 Oct 2025,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:car;timeframe:by 15 Oct 2025
Gotta save $150k for medical ASAP.,150000,USD,150000.0,medical,this summer,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:medical;timeframe:this summer
I need 150k dollars by by next Christmas to buy a gift.,150000,INR,150000.0,gift,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:by next Christmas
"Want to set aside ₹25,000 for emergency fund next within 3 weeks.",25000,INR,25000.0,emergency_fund,within 3 weeks,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:emergency_fund;timeframe:within 3 weeks
"Can I save $2,000 over the next within 3 weeks for wedding",2000,USD,2000.0,wedding,within 3 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:wedding;timeframe:within 3 weeks
"Gotta save $2,000 for smartphone ASAP.",2000,USD,2000.0,phone,before Eid,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:before Eid
Gotta save Rs. 10k for travel ASAP.,10000,INR,10000.0,travel,by next Christmas,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:by next Christmas
I need fifteen thousand by this summer to buy a trip.,15000,INR,15000.0,travel,this summer,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:travel;timeframe:this summer
Want to set aside Rs. 10k for gaming pc next next year.,10000,INR,10000.0,gaming_pc,next year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gaming_pc;timeframe:next year
Need £500 for gaming rig by by 15 Oct 2025.,500,GBP,500.0,gaming_pc,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:gaming_pc;timeframe:by 15 Oct 2025
Gotta save $150k for smartphone ASAP.,150000,USD,150000.0,phone,in 5 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:phone;timeframe:in 5 months
Gotta save 150k dollars for groceries ASAP.,150000,INR,150000.0,groceries,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:in 6 months
Im aiming to save ₹150k in by next Christmas for pc.,150000,INR,150000.0,gaming_pc,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by next Christmas
Save 150k for smartphone in within 2 weeks.,150000,INR,150000.0,phone,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:within 2 weeks
Im aiming to save $150k in within 2 weeks for car.,150000,USD,150000.0,car,within 2 weeks,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:car;timeframe:within 2 weeks
Save one fifty thousand for wedding in in 6 months.,51000,INR,51000.0,wedding,in 6 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:wedding;timeframe:in 6 months
"Want to set aside $2,000 for laptop next this summer.",2000,USD,2000.0,laptop,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:laptop;timeframe:this summer
Im aiming to save fifteen thousand in in 5 months for gaming rig.,15000,INR,15000.0,gaming_pc,in 5 months,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
I need 150k by by New Year to buy a smartphone.,150000,INR,150000.0,phone,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by New Year
"Gotta save 1,50,000 for phone ASAP.",150000,INR,150000.0,phone,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:before Eid
Can I save $150k over the next within 3 weeks for gift,150000,USD,150000.0,gift,within 3 weeks,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:gift;timeframe:within 3 weeks
Want to set aside 150k dollars for vacation next by New Year.,150000,INR,150000.0,travel,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by New Year
I need 150k by before Eid to buy a gaming pc.,150000,INR,150000.0,gaming_pc,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:before Eid
Gotta save 2000 USD for tuition ASAP.,2000,USD,2000.0,tuition,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:tuition;timeframe:by Diwali
Can I save one hundred fifty thousand over the next in 5 months for groceries,150000,INR,150000.0,groceries,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:in 5 months
Planning to put fifteen thousand towards my trip within by next Christmas.,15000,INR,15000.0,travel,by next Christmas,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:travel;timeframe:by next Christmas
Can I save ₹150k over the next in 6 months for pc,150000,INR,150000.0,gaming_pc,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
Save 150k for pc in by 15 Oct 2025.,150000,INR,150000.0,gaming_pc,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by 15 Oct 2025
Save $150k for wedding in by 15 Oct 2025.,150000,USD,150000.0,wedding,by 15 Oct 2025,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by 15 Oct 2025
Need 150k for deposit by by 15 Oct 2025.,150000,INR,150000.0,deposit,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:by 15 Oct 2025
Want to set aside £500 for medical next within 3 weeks.,500,GBP,500.0,medical,within 3 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:medical;timeframe:within 3 weeks
"I need $2,000 by by next Christmas to buy a laptop.",2000,USD,2000.0,laptop,by next Christmas,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:laptop;timeframe:by next Christmas
I need one hundred fifty thousand by by Diwali to buy a gaming pc.,150000,INR,150000.0,gaming_pc,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
"Want to set aside $2,000 for emergency fund next in 5 months.",2000,USD,2000.0,emergency_fund,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:emergency_fund;timeframe:in 5 months
I need 150k dollars by by next Christmas to buy a wedding.,150000,INR,150000.0,wedding,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by next Christmas
Save 150k for laptop in by Diwali.,150000,INR,150000.0,laptop,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:by Diwali
"Im aiming to save 1,50,000 in in 5 months for gaming pc.",150000,INR,150000.0,gaming_pc,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
"Planning to put 1,50,000 towards my mobile within by New Year.",150000,INR,150000.0,phone,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by New Year
Save one fifty thousand for gaming pc in before Eid.,51000,INR,51000.0,gaming_pc,before Eid,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:gaming_pc;timeframe:before Eid
"Can I save $2,000 over the next in 6 months for gaming pc",2000,USD,2000.0,gaming_pc,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
Planning to put one fifty thousand towards my rent within in 6 months.,51000,INR,51000.0,rent,in 6 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:rent;timeframe:in 6 months
Can I save £500 over the next by 15 Oct 2025 for vacation,500,GBP,500.0,travel,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:by 15 Oct 2025
Can I save 1.5 lakh over the next by Diwali for vacation,150000,INR,150000.0,travel,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by Diwali
"I need $2,000 by within 2 weeks to buy a gift.",2000,USD,2000.0,gift,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gift;timeframe:within 2 weeks
Gotta save €3000 for medical ASAP.,3000,EUR,3000.0,medical,in 6 months,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:medical;timeframe:in 6 months
I need one fifty thousand by in 6 months to buy a rent.,51000,INR,51000.0,rent,in 6 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:rent;timeframe:in 6 months
"Gotta save 1,50,000 for groceries ASAP.",150000,INR,150000.0,groceries,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:in 6 months
Im aiming to save €3000 in before Eid for tuition.,3000,EUR,3000.0,tuition,before Eid,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:tuition;timeframe:before Eid
I need 150k dollars by within 2 weeks to buy a gaming pc.,150000,INR,150000.0,gaming_pc,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:within 2 weeks
Im aiming to save Rs. 10k in next year for medical.,10000,INR,10000.0,medical,next year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:medical;timeframe:next year
Want to set aside one hundred fifty thousand for phone next in 6 months.,150000,INR,150000.0,phone,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:in 6 months
Im aiming to save 1.5 lakh in in 6 months for bike.,150000,INR,150000.0,bike,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:in 6 months
Need 150k for medical by by next Christmas.,150000,INR,150000.0,medical,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:by next Christmas
"Im aiming to save 1,50,000 in next year for rent.",150000,INR,150000.0,rent,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:next year
Planning to put 1.5 lakh towards my wedding within in 6 months.,150000,INR,150000.0,wedding,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:in 6 months
Can I save 2000 USD over the next in 5 months for travel,2000,USD,2000.0,travel,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:in 5 months
"I need 1,50,000 by within 3 weeks to buy a emergency fund.",150000,INR,150000.0,emergency_fund,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:within 3 weeks
Gotta save Rs. 10k for phone ASAP.,10000,INR,10000.0,phone,by 15 Oct 2025,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
"Need 1,50,000 for wedding by before Eid.",150000,INR,150000.0,wedding,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:before Eid
Want to set aside 1.5 lakh for medical next by Diwali.,150000,INR,150000.0,medical,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:by Diwali
Save 2000 USD for mobile in by next Christmas.,2000,USD,2000.0,phone,by next Christmas,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:by next Christmas
Save Rs. 10k for gaming pc in within 3 weeks.,10000,INR,10000.0,gaming_pc,within 3 weeks,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gaming_pc;timeframe:within 3 weeks
Im aiming to save ₹150k in by 15 Oct 2025 for emergency fund.,150000,INR,150000.0,emergency_fund,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:by 15 Oct 2025
Gotta save 150k dollars for pc ASAP.,150000,INR,150000.0,gaming_pc,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
"Gotta save 1,50,000 for smartphone ASAP.",150000,INR,150000.0,phone,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:in 5 months
Gotta save 1.5 lakh for rent ASAP.,150000,INR,150000.0,rent,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:by Diwali
I need $150k by before Eid to buy a smartphone.,150000,USD,150000.0,phone,before Eid,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:phone;timeframe:before Eid
Can I save $150k over the next in 6 months for trip,150000,USD,150000.0,travel,in 6 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
Save 1.5 lakh for travel in in 6 months.,150000,INR,150000.0,travel,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
Need Rs. 10k for medical by within 2 weeks.,10000,INR,10000.0,medical,within 2 weeks,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:medical;timeframe:within 2 weeks
Save Rs. 10k for pc in in 6 months.,10000,INR,10000.0,gaming_pc,in 6 months,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
Planning to put £500 towards my car within in 5 months.,500,GBP,500.0,car,in 5 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:car;timeframe:in 5 months
Im aiming to save 1.5 lakh in within 2 weeks for laptop.,150000,INR,150000.0,laptop,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:within 2 weeks
I need €3000 by within 2 weeks to buy a tuition.,3000,EUR,3000.0,tuition,within 2 weeks,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:tuition;timeframe:within 2 weeks
Want to set aside one fifty thousand for gift next in 6 months.,51000,INR,51000.0,gift,in 6 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:gift;timeframe:in 6 months
Save 150k dollars for wedding in by Diwali.,150000,INR,150000.0,wedding,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by Diwali
Im aiming to save €3000 in within 2 weeks for pc.,3000,EUR,3000.0,gaming_pc,within 2 weeks,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gaming_pc;timeframe:within 2 weeks
I need $150k by within 2 weeks to buy a gaming pc.,150000,USD,150000.0,gaming_pc,within 2 weeks,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:within 2 weeks
"Need $2,000 for car by by next Christmas.",2000,USD,2000.0,car,by next Christmas,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:car;timeframe:by next Christmas
Im aiming to save one fifty thousand in by New Year for travel.,51000,INR,51000.0,travel,by New Year,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:by New Year
Gotta save £500 for travel ASAP.,500,GBP,500.0,travel,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:by 15 Oct 2025
Save ₹150k for phone in next year.,150000,INR,150000.0,phone,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:next year
Gotta save fifteen thousand for phone ASAP.,15000,INR,15000.0,phone,by 15 Oct 2025,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
Im aiming to save £500 in by New Year for pc.,500,GBP,500.0,gaming_pc,by New Year,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:gaming_pc;timeframe:by New Year
"Gotta save $2,000 for emergency fund ASAP.",2000,USD,2000.0,emergency_fund,by next Christmas,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:emergency_fund;timeframe:by next Christmas
Want to set aside 150k for gift next in 5 months.,150000,INR,150000.0,gift,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:in 5 months
Need 2000 USD for trip by within 2 weeks.,2000,USD,2000.0,travel,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:within 2 weeks
Need one hundred fifty thousand for deposit by by Diwali.,150000,INR,150000.0,deposit,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:by Diwali
Im aiming to save 150k in by New Year for travel.,150000,INR,150000.0,travel,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by New Year
I need 150k by by New Year to buy a pc.,150000,INR,150000.0,gaming_pc,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by New Year
Need 150k dollars for groceries by by 15 Oct 2025.,150000,INR,150000.0,groceries,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by 15 Oct 2025
Want to set aside 1.5 lakh for gift next this summer.,150000,INR,150000.0,gift,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:this summer
Want to set aside ₹150k for rent next in 5 months.,150000,INR,150000.0,rent,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:in 5 months
"Need $2,000 for tuition by within 3 weeks.",2000,USD,2000.0,tuition,within 3 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:tuition;timeframe:within 3 weeks
Im aiming to save ₹150k in by next Christmas for trip.,150000,INR,150000.0,travel,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by next Christmas
Want to set aside one fifty thousand for gaming rig next by next Christmas.,51000,INR,51000.0,gaming_pc,by next Christmas,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:gaming_pc;timeframe:by next Christmas
Need fifteen thousand for gaming pc by within 3 weeks.,15000,INR,15000.0,gaming_pc,within 3 weeks,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:gaming_pc;timeframe:within 3 weeks
Need £500 for deposit by within 3 weeks.,500,GBP,500.0,deposit,within 3 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:deposit;timeframe:within 3 weeks
Planning to put 150k dollars towards my pc within by 15 Oct 2025.,150000,INR,150000.0,gaming_pc,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by 15 Oct 2025
Need one hundred fifty thousand for car by within 2 weeks.,150000,INR,150000.0,car,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:car;timeframe:within 2 weeks
Want to set aside $150k for phone next before Eid.,150000,USD,150000.0,phone,before Eid,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:phone;timeframe:before Eid
Save 150k dollars for pc in by Diwali.,150000,INR,150000.0,gaming_pc,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
I need 2000 USD by next year to buy a gaming rig.,2000,USD,2000.0,gaming_pc,next year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:next year
Gotta save ₹150k for laptop ASAP.,150000,INR,150000.0,laptop,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:this summer
"Save 1,50,000 for rent in this summer.",150000,INR,150000.0,rent,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:this summer
"I need 1,50,000 by within 3 weeks to buy a deposit.",150000,INR,150000.0,deposit,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:within 3 weeks
Save €3000 for deposit in in 6 months.,3000,EUR,3000.0,deposit,in 6 months,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:deposit;timeframe:in 6 months
Want to set aside 1.5 lakh for deposit next in 5 months.,150000,INR,150000.0,deposit,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:in 5 months
Need €3000 for gift by by New Year.,3000,EUR,3000.0,gift,by New Year,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gift;timeframe:by New Year
